location_name,horizon,rate_quantile_0.025,rate_quantile_0.5,rate_quantile_0.975,count_quantile_0.025,count_quantile_0.5,count_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.5_rounded,rate_quantile_0.975_rounded,count_quantile_0.025_rounded,count_quantile_0.5_rounded,count_quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
Hawaii,1,NA,NA,NA,0.00179149974147291,0.00388633745228874,0.00681780357168755,NA,NA,NA,0.0018,0.0039,0.0068,wk inc covid prop ed visits,prop_ed,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Hawaii,2,NA,NA,NA,0.00173335542981892,0.00388569917351275,0.00784857174867529,NA,NA,NA,0.0017,0.0039,0.0078,wk inc covid prop ed visits,prop_ed,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Idaho,0,0.01106802200033994,0.20650548361289756,0.5662719469145362,0.217066822232207,4.05,11.105765061924169,0.01,0.21,0.57,0,4,10,wk inc covid hosp,hosp,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Idaho,1,0.01089282696170868,0.2505031024997864,0.6883516120429919,0.2136308848709181,4.912884381442987,13.5,0.01,0.25,0.69,0,5,10,wk inc covid hosp,hosp,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Idaho,2,0.0064756575804339,0.26746731687407804,1.1725278151643406,0.1270010497635003,5.2455877412466,22.99569758795011,0.01,0.27,1.17,0,5,20,wk inc covid hosp,hosp,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Idaho,0,NA,NA,NA,8.907998424474427e-4,0.00162181517071692,0.00266380391594325,NA,NA,NA,8.9e-4,0.0016,0.0027,wk inc covid prop ed visits,prop_ed,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Idaho,1,NA,NA,NA,7.581922288185446e-4,0.00163636615758498,0.00315530132755111,NA,NA,NA,7.6e-4,0.0016,0.0032,wk inc covid prop ed visits,prop_ed,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Idaho,2,NA,NA,NA,9.443463040310838e-4,0.00208463845929437,0.00424453075334872,NA,NA,NA,9.4e-4,0.0021,0.0042,wk inc covid prop ed visits,prop_ed,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Illinois,0,0.03280272531425143,0.11936720663101688,0.41626333764299783,4.111111111111111,14.960093857502338,52.16959310965643,0.03,0.12,0.42,4,10,50,wk inc covid hosp,hosp,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Illinois,1,0.03634896588876511,0.1272213806106779,0.6408889098324039,4.555555555555555,15.944444444444445,80.32154319370485,0.04,0.13,0.64,5,20,80,wk inc covid hosp,hosp,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Illinois,2,0.02748336445248093,0.14539586355506043,0.769157416608424,3.4444444444444446,18.22222222222222,96.3972222222222,0.03,0.15,0.77,3,20,100,wk inc covid hosp,hosp,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
